cell_id,celltype,dataset
[727] Kidney_1cell_727.htrms.PG.Quantity,CNT,kidney768
[728] Kidney_1cell_728.htrms.PG.Quantity,Descending vasa recta,kidney768
[730] Kidney_1cell_730.htrms.PG.Quantity,CNT,kidney768
[731] Kidney_1cell_731.htrms.PG.Quantity,Proximal straight tubule,kidney768
[732] Kidney_1cell_732.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[733] Kidney_1cell_733.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[734] Kidney_1cell_734.htrms.PG.Quantity,Proximal straight tubule,kidney768
[735] Kidney_1cell_735.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[736] Kidney_1cell_736.htrms.PG.Quantity,Proximal straight tubule,kidney768
[737] Kidney_1cell_737.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[738] Kidney_1cell_738.htrms.PG.Quantity,Proximal straight tubule,kidney768
[739] Kidney_1cell_739.htrms.PG.Quantity,Macula densa,kidney768
[740] Kidney_1cell_740.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[741] Kidney_1cell_741.htrms.PG.Quantity,Proximal straight tubule,kidney768
[742] Kidney_1cell_742.htrms.PG.Quantity,Proximal straight tubule,kidney768
[743] Kidney_1cell_743.htrms.PG.Quantity,Unknown,kidney768
[744] Kidney_1cell_744.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[745] Kidney_1cell_745.htrms.PG.Quantity,Proximal straight tubule,kidney768
[746] Kidney_1cell_746.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[747] Kidney_1cell_747.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[748] Kidney_1cell_748.htrms.PG.Quantity,Proximal straight tubule,kidney768
[749] Kidney_1cell_749.htrms.PG.Quantity,CNT,kidney768
[750] Kidney_1cell_750.htrms.PG.Quantity,Proximal straight tubule,kidney768
[751] Kidney_1cell_751.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[752] Kidney_1cell_752.htrms.PG.Quantity,DCT2,kidney768
[753] Kidney_1cell_753.htrms.PG.Quantity,Descending vasa recta,kidney768
[754] Kidney_1cell_754.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[755] Kidney_1cell_755.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[756] Kidney_1cell_756.htrms.PG.Quantity,CD-intercalated cells (type B),kidney768
[757] Kidney_1cell_757.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[758] Kidney_1cell_758.htrms.PG.Quantity,Proximal straight tubule,kidney768
[759] Kidney_1cell_759.htrms.PG.Quantity,Proximal straight tubule,kidney768
[760] Kidney_1cell_760.htrms.PG.Quantity,Proximal straight tubule,kidney768
[761] Kidney_1cell_761.htrms.PG.Quantity,Proximal straight tubule,kidney768
[762] Kidney_1cell_762.htrms.PG.Quantity,CD-intercalated cells (type B),kidney768
[763] Kidney_1cell_763.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[764] Kidney_1cell_764.htrms.PG.Quantity,CNT,kidney768
[765] Kidney_1cell_765.htrms.PG.Quantity,Proximal convoluted tubule,kidney768
[766] Kidney_1cell_766.htrms.PG.Quantity,Thick ascending limb of LOH,kidney768
[767] Kidney_1cell_767.htrms.PG.Quantity,DCT2,kidney768
